Well,ct_sc2,ct_flua,ct_flub,ct_rsv
O14,28.48,32.01,28.85,26.31
O15,28.13,33.1,28.43,26.19
O16,27.35,33.01,28.87,26.21
O17,27.98,31.75,28.81,25.95
O18,28.21,32.07,28.79,26.34
O19,26.31,33.15,28.8,25.65
O2,28.21,32.91,28.91,26.32
O20,27.84,32.41,28.64,26.84
O21,28.04,31.37,28.77,26.28
O22,28.08,32.08,28.55,26.4
O23,28.14,32.49,28.55,25.87
O24,26.89,33.9,28.9,25.94
O3,28.78,32.67,29.03,26.83
O4,28.5,31.97,28.81,26.43
O5,28.21,33.65,28.52,26.4
O6,28.24,32.57,28.81,26.41
O7,28.24,32.14,28.86,26.56
O8,28.13,32.29,28.71,26.2
O9,28.16,32.51,28.73,26.69
P1,28.2,31.99,28.88,26.69
P10,28.23,31.94,28.79,26.77
P11,28.07,31.93,28.88,26.33
P12,27.52,31.9,28.53,26.52
P13,28.34,31.38,28.41,26.34
P14,28.53,31.12,28.85,26.48
P15,28.47,32.02,28.98,26.33
P16,26.67,33.11,28.97,26.67
P17,28.29,32.11,28.69,27.08
P18,27.99,32.35,28.63,26.79
P19,27.08,32.93,29.05,26.29
P2,28.35,32.39,29.03,26.79
P20,28.14,31.98,28.15,26.86
P21,27.95,32.05,28.77,26.81
P22,28.33,31.77,28.58,27
P23,28.05,31.56,28.58,27.1
P24,27.25,32.32,28.81,26.36
P3,28.47,31.94,29.01,27.14
P4,28.26,32.12,28.96,27.21
P5,28.39,32.72,28.71,27.06
P6,28.35,32.27,28.68,26.89
P7,28.3,32.48,28.6,26.53
P8,27.79,32.06,28.78,26.92
P9,28,32.52,28.32,26.74
